USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
727687,94028,SIDNEY-RICHLAND MUNI ARPT,US,MT,KSDY,+47.717,-104.183,+0603.5,20060101,20240405
727690,24137,CUT BANK MUNICIPAL AIRPORT,US,MT,KCTB,+48.604,-112.377,+1171.9,20050101,20240406
727700,24138,DILLON AIRPORT,US,MT,KDLN,+45.258,-112.555,+1584.7,20050101,20240405
727720,24144,HELENA REGIONAL AIRPORT,US,MT,KHLN,+46.604,-111.989,+1178.1,19730101,20240405
727730,24153,MISSOULA INTERNATIONAL AIRPORT,US,MT,KMSO,+46.921,-114.094,+0973.8,19730101,20240405
727740,24135,BERT MOONEY AIRPORT,US,MT,KBTM,+45.964,-112.501,+1677.8,20050101,20240405
727750,24143,GREAT FALLS INTERNATIONAL AIRPORT,US,MT,KGTF,+47.473,-111.383,+1117.7,19730101,20240406
727755,24112,MALMSTROM AFHP HELIPORT,US,MT,KGFA,+47.517,-111.183,+1058.3,19421201,20240406
727760,99999,GREAT FALLS,US,MT,,+47.450,-111.383,+1130.5,19940921,20240404
727770,94012,HAVRE CITY-COUNTY AIRPORT,US,MT,KHVR,+48.543,-109.764,+0788.2,19730101,20240405
727790,24146,GLACIER PARK INTERNATIONAL AIRPORT,US,MT,KGPI,+48.304,-114.264,+0903.2,19730101,20240405
727810,24243,YAKIMA AIR TERMINAL/MCALSR FIELD AP,US,WA,KYKM,+46.564,-120.535,+0321.0,19730101,20240405
727815,24237,STAMPASS PASS FLTWO,US,WA,KSMP,+47.277,-121.337,+1206.7,19730101,20240405
727825,94239,PANGBORN MEMORIAL AIRPORT,US,WA,KEAT,+47.397,-120.201,+0377.5,20000101,20240405
727827,24110,GRANT COUNTY INTL AIRPORT,US,WA,KMWH,+47.193,-119.315,+0356.3,19430610,20240405
727830,24149,LEWISTON-NEZ PERCE COUNTY AIRPORT,US,ID,KLWS,+46.375,-117.015,+0435.8,19730101,20240405
727834,24136,COEUR D'ALENE AIR TERM APT,US,ID,KCOE,+47.767,-116.817,+0703.2,20060101,20240405
727845,24163,TRI-CITIES AIRPORT,US,WA,KPSC,+46.270,-119.118,+0122.1,19730101,20240405
727846,24160,WALLA WALLA REGIONAL ARPT,US,WA,KALW,+46.095,-118.286,+0356.7,19410901,20240405
727850,24157,SPOKANE INTERNATIONAL AIRPORT,US,WA,KGEG,+47.622,-117.528,+0717.7,19410811,20240405
727855,24114,FAIRCHILD AIR FORCE BASE,US,WA,KSKA,+47.633,-117.650,+0750.1,19400401,20240405
727856,94176,FELTS FIELD AIRPORT,US,WA,KSFF,+47.686,-117.321,+0594.6,20060101,20240405
727857,94129,PULLMAN/MOSCOW RGNL ARPT,US,WA,KPUW,+46.744,-117.116,+0775.7,20060101,20240405
727870,94119,DEER PARK AIRPORT,US,WA,KDEW,+47.974,-117.429,+0672.0,20100801,20240405
727873,99999,COLVILLE MUNICIPAL ARPT,US,WA,K63S,+48.544,-117.884,+0575.0,19890908,20240404
727883,24220,BOWERS FIELD AIRPORT,US,WA,KELN,+47.034,-120.531,+0532.5,19880106,20240405
727884,99999,RICHLAND AIRPORT,US,WA,KRLD,+46.306,-119.304,+0120.1,19810203,20240404
727885,94266,WILLIAM R FAIRCHILD INT AP,US,WA,KCLM,+48.122,-123.507,+0083.2,20060101,20240405
727890,94197,OMAK AIRPORT,US,WA,KOMK,+48.461,-119.521,+0397.4,20060101,20240405
727900,24141,EPHRATA MUNICIPAL AIRPORT,US,WA,KEPH,+47.308,-119.516,+0382.1,20050101,20240405
727910,94224,ASTORIA REGIONAL AIRPORT,US,OR,KAST,+46.157,-123.883,+0003.4,19730101,20240405
727918,94298,PEARSON FIELD AIRPORT,US,WA,KVUO,+45.621,-122.654,+0006.6,20060101,20240405
727920,24227,OLYMPIA AIRPORT,US,WA,KOLM,+46.974,-122.905,+0060.9,19730101,20240405
727923,94225,BOWERMAN AIRPORT,US,WA,KHQM,+46.973,-123.931,+0004.5,19910108,20240405
727924,24223,KELSO-LONGVIEW AIRPORT,US,WA,KKLS,+46.117,-122.894,+0006.1,19900208,20240405
727925,94227,SANDERSON FIELD AIRPORT,US,WA,KSHN,+47.238,-123.141,+0084.2,19990101,20240405
727928,94263,BREMERTON NATIONAL AIRPORT,US,WA,KPWT,+47.483,-122.767,+0135.3,20060101,20240405
727930,24233,SEATTLE-TACOMA INTERNATIONAL AIRPORT,US,WA,KSEA,+47.445,-122.314,+0112.5,19480101,20240405
727934,94248,RENTON MUNICIPAL AIRPORT,US,WA,KRNT,+47.495,-122.214,+0005.5,20060101,20240405
727935,24234,BOEING FLD/KING CO INTL AP,US,WA,KBFI,+47.546,-122.315,+0007.6,19431001,20240405
727937,24222,SNOHOMISH CO (PAINE FD) AP,US,WA,KPAE,+47.923,-122.283,+0167.1,20060101,20240405
727938,94274,TACOMA NARROWS AIRPORT,US,WA,KTIW,+47.267,-122.576,+0088.4,20060101,20240405
727945,04205,ARLINGTON MUNICIPAL ARPT,US,WA,KAWO,+48.161,-122.159,+0041.8,20060101,20240405
727970,94240,QUILLAYUTE AIRPORT,US,WA,KUIL,+47.937,-124.558,+0056.4,19730101,20240405
727976,24217,BELLINGHAM INTL AIRPORT,US,WA,KBLI,+48.799,-122.541,+0045.9,19480101,20240405
727985,94276,FRIDAY HARBOR AIRPORT,US,WA,KFHR,+48.520,-123.026,+0034.2,20060101,20240405
740001,54793,SUSSEX AIRPORT,US,NJ,KFWN,+41.199,-074.626,+0127.5,20060101,20240405
740002,03042,LA VETA PASS AWOS-3 ARPT,US,CO,KVTP,+37.500,-105.167,+3114.1,20060101,20240405
740030,24103,MICHAEL AAF AIRPORT,US,UT,KDPG,+40.183,-112.933,+1325.6,20060103,20240404
740035,03145,YUMA MCAS,US,AZ,KNYL,+32.650,-114.617,+0064.9,20050101,20240405
742010,99999,PORT ANGELES CGAS,US,WA,KNOW,+48.141,-123.414,+0004.0,20060619,20240404
742060,24207,MCCHORD AFB AIRPORT,US,WA,KTCM,+47.150,-122.483,+0098.2,19400722,20240405
742071,24201,GRAY AFF AIRPORT,US,WA,KGRF,+47.083,-122.583,+0091.4,20110101,20240405
742077,03763,ROCKINGHAM COUNTY NC SHILOH AIRPORT,US,NC,KSIF,+36.437,-079.851,+0211.2,20061024,20240405
742078,64773,PLYMOUTH MUNICIPAL AIRPORT,US,NH,K1P1,+43.779,-071.754,+0153.9,20061012,20240406
742300,24037,FRANK WILEY FIELD AIRPORT,US,MT,KMLS,+46.426,-105.883,+0800.2,19830531,20240405
742513,53937,EAKER FIELD AIRPORT,US,OK,KDUA,+33.942,-096.394,+0212.8,20060101,20240405
743312,53925,J.L. HELMS SEVIER CO ARPT,US,AR,KDEQ,+34.048,-094.402,+0106.6,20040101,20240405
743700,14715,WHEELER-SACK AAF AIRPORT,US,NY,KGTB,+44.050,-075.733,+0209.7,20060101,20240406
743945,14710,MANCHESTER AIRPORT,US,NH,KMHT,+42.930,-071.436,+0069.8,19730101,20240406
743946,54754,BOIRE FIELD AIRPORT,US,NH,KASH,+42.783,-071.517,+0061.0,20060101,20240406
744104,14763,PITTSFIELD MUNICIPAL AP,US,MA,KPSF,+42.427,-073.289,+0351.2,20060101,20240406
744214,94852,MARION MUNICIPAL AP,US,IN,KMZZ,+40.483,-085.683,+0263.0,20100114,20240405
744550,94982,DAVENPORT MUNICIPAL AIRPT,US,IA,KDVN,+41.613,-090.595,+0227.5,19960702,20240405
744652,53897,HARRISBURG-RALEIGH AIRPORT,US,IL,KHSB,+37.811,-088.549,+0120.7,20060101,20240323
744653,63814,SPARTA COMMUNITY-HUNTER FIELD AIRPORT,US,IL,KSAR,+38.149,-089.699,+0164.0,20060101,20240405
744655,04808,AURORA MUNICIPAL AIRPORT,US,IL,KARR,+41.771,-088.481,+0213.7,20060101,20240405
744656,53891,FAIRFIELD MUNICIPAL ARPT,US,IL,KFWC,+38.379,-088.413,+0132.9,20060101,20240405
744657,53887,CENTRALIA MUNICIPAL ARPT,US,IL,KENL,+38.515,-089.092,+0162.8,20060101,20240405
744658,53889,FLORA MUNICIPAL AIRPORT,US,IL,KFOA,+38.665,-088.453,+0143.9,20060101,20240405
744659,53822,OLNEY-NOBLE AIRPORT,US,IL,KOLY,+38.722,-088.176,+0146.9,20060101,20240405
